id,view_count,rating_count,upvote_count,share_count,comment_count,created_at,created_at_scaled
1164,2,8,1,2,3,1724083379000,1.0
1163,2,8,1,2,3,1724083356000,0.9999991151998984
1162,1,8,3,2,3,1724083334000,0.999998268869362
1161,2,8,1,2,3,1724083192000,0.9999928061904626
1160,1,8,1,2,3,1724083165000,0.9999917675120855
1159,17,8,3,2,3,1724083139000,0.9999907673032737
1158,17,8,3,2,3,1724083112000,0.9999897286248824
1157,17,8,3,2,3,1724083090000,0.9999888822943461
1156,17,8,3,2,3,1724083063000,0.999987843615969
1155,1,8,3,2,3,1723985161000,0.9962215958008471
1154,1,8,3,2,3,1723985133000,0.9962205186528905
1153,5,8,1,2,3,1723985106000,0.9962194799745134
1152,2,8,3,2,3,1723985020000,0.996216171591513
1151,4,1,3,2,3,1723984997000,0.9962152867914114
1150,2,8,3,2,3,1723984977000,0.9962145174000199
1149,3,8,3,2,3,1723984286000,0.9961879349273346
1148,3,8,3,2,3,1723984261000,0.9961869731881023
1147,5,2,3,2,3,1723984238000,0.9961860883879865
1146,5,8,3,2,3,1723903893000,0.9930952508085227
1145,3,8,3,2,3,1723903854000,0.9930937504952908
1144,3,8,3,2,3,1723903819000,0.9930924040603628
1143,5,8,3,2,3,1723903736000,0.9930892110860725
1142,1,8,3,2,3,1723903718000,0.9930885186338116
1141,2,8,3,2,3,1723903695000,0.99308763383371
1140,1,8,3,2,3,1723903548000,0.9930819788069556
1139,3,2,3,2,3,1723903530000,0.9930812863547089
1138,1,8,2,2,3,1723903502000,0.9930802092067523
1137,1,8,3,2,3,1723827657000,0.9901624846910408
1136,17,8,3,2,3,1723827621000,0.9901610997865191
1135,1,8,1,2,3,1723826666000,0.9901243613474406
1134,1,8,1,2,3,1723826649000,0.9901237073647593
1133,3,8,3,2,3,1723826481000,0.9901172444770339
1132,1,8,1,2,3,1723826380000,0.9901133590504969
1131,17,8,3,2,3,1723826350000,0.9901122049634097
1129,1,8,3,2,3,1723826112000,0.990103049205814
1127,1,8,1,2,3,1723826065000,0.9901012411360313
1126,17,8,3,2,3,1723825806000,0.9900912775174788
1125,1,8,3,2,3,1723825777000,0.9900901618999569
1124,17,8,3,2,3,1723825754000,0.9900892770998553
1123,10,8,2,2,3,1723494607000,0.9773501944944485
1122,8,8,2,2,3,1723494584000,0.9773493096943469
1121,4,8,3,2,3,1723494559000,0.9773483479551004
1120,1,8,3,2,3,1723494533000,0.9773473477462886
1119,5,1,1,2,3,1723494507000,0.9773463475374768
1117,4,8,3,2,3,1723494453000,0.9773442701807085
1116,4,8,3,2,3,1723494415000,0.9773428083370703
1115,4,8,3,2,3,1723490021000,0.9771737730476957
1113,3,8,1,2,3,1723229524000,0.9671525655433015
1111,4,8,3,2,3,1723228546000,0.9671149423041072
1110,13,1,4,2,3,1723227910000,0.9670904756577698
1109,5,1,1,2,3,1723227295000,0.9670668168723893
1108,8,3,3,2,3,1723226734000,0.9670452354437629
